"","x"
"482",0
"483",0
"484",0
"485",0
"486",0
"487",1
"488",0
"489",0
"490",0
"491",0
"492",0
"493",0
"494",0
"495",0
"496",0
"497",0
"498",0
"499",1
"500",0
"501",0
"502",1
"503",0
"504",0
"505",0
"506",0
"507",0
"508",0
"509",0
"510",0
"511",0
"512",0
"513",0
"514",0
"515",0
"516",0
"517",0
"518",0
"519",1
"520",0
"521",0
"522",0
"523",0
"524",0
"525",0
"526",0
"527",1
"528",0
"529",1
"530",0
"531",1
"532",1
"533",1
"534",0
"535",0
"536",1
"537",0
"538",0
"539",0
"540",0
"541",0
"542",0
"543",0
"544",0
"545",0
"546",1
"547",0
"548",1
"549",0
"550",0
"551",0
"552",0
"553",1
"554",0
"555",0
"556",0
"557",0
"558",0
"559",0
"560",0
"561",1
"562",0
"563",0
"564",0
"565",0
"566",0
"567",0
"568",0
"569",1
"570",0
"571",0
"572",0
"573",0
"574",0
"575",0
"576",0
"577",0
"578",0
"579",1
"580",0
"581",0
"582",0
"583",0
"584",0
"585",0
"586",0
"587",0
"588",0
"589",0
"590",0
"591",0
"592",0
"593",0
"594",0
"595",0
"596",0
"597",0
"598",0
"599",0
"600",0
"601",0
"602",0
"603",0
"604",0
"605",0
"606",0
"607",0
"608",0
"609",0
"610",0
"611",0
"612",0
"613",0
"614",0
"615",0
"616",0
"617",0
"618",0
"619",0
"620",0
"621",0
"622",0
"623",0
"624",0
"625",0
"626",0
"627",0
"628",0
"629",0
"630",0
"631",1
"632",0
"633",0
"634",1
"635",0
"636",1
"637",0
"638",0
"639",0
"640",0
"641",0
"642",0
"643",0
"644",0
"645",1
"646",1
"647",1
"648",0
"649",0
"650",0
"651",1
"652",1
"653",0
"654",0
"655",1
"656",1
"657",0
"658",0
"659",0
"660",0
"661",0
"662",0
"663",0
"664",1
"665",0
"666",1
"667",1
"668",0
"669",1
"670",0
"671",0
"672",1
"673",0
"674",0
"675",1
"676",1
"677",1
"678",1
"679",1
"680",0
"681",0
"682",1
"683",0
"684",0
"685",1
"686",0
"687",1
"688",0
"689",0
"690",1
"691",0
"692",1
"693",0
"694",1
"695",0
"696",0
"697",1
"698",0
"699",0
"700",0
"701",0
"702",0
"703",0
"704",0
"705",0
"706",0
"707",0
"708",0
"709",0
"710",0
"711",0
"712",0
"713",0
"714",0
"715",0
"716",0
"717",0
"718",0
"719",0
"720",0
"721",0
"722",0
"723",0
"724",0
"725",0
"726",0
"727",1
"728",1
"729",0
"730",0
"731",0
"732",0
"733",0
"734",0
"735",0
"736",0
"737",0
"738",1
"739",0
"740",0
"741",1
"742",0
"743",0
"744",0
"745",0
"746",0
"747",0
"748",0
"749",0
"750",1
"751",0
"752",1
"753",0
"754",0
"755",0
"756",0
"757",0
"758",1
"759",0
"760",0
"761",1
"762",0
"763",0
"764",1
"765",0
"766",0
"767",0
"768",0
"769",0
"770",0
"771",0
"772",0
"773",0
"774",0
"775",0
"776",0
"777",0
"778",0
"779",0
"780",0
"781",0
"782",0
"783",0
"784",0
"785",0
"786",0
"787",0
"788",0
"789",0
"790",0
"791",0
"792",0
"793",0
"794",0
"795",0
"796",0
"797",0
"798",0
"799",0
"800",0
"801",0
"802",0
"803",0
"804",0
"805",1
"806",0
"807",0
"808",1
"809",0
"810",0
"811",0
"812",0
"813",0
"814",0
"815",0
"816",0
"817",0
"818",0
"819",0
"820",0
"821",0
"822",0
"823",0
"824",0
"825",0
"826",0
"827",0
"828",1
"829",0
"830",0
"831",0
"832",1
"833",0
"834",0
"835",1
"836",1
"837",0
"838",0
"839",0
"840",1
"841",0
"842",0
"843",1
"844",0
"845",1
"846",1
"847",0
"848",0
"849",0
"850",0
"851",0
"852",0
"853",1
"854",1
"855",0
"856",0
"857",1
"858",1
"859",1
"860",0
"861",0
"862",0
"863",0
"864",1
"865",1
"866",0
"867",1
"868",0
"869",0
"870",1
"871",0
"872",0
"873",0
"874",1
"875",0
"876",0
"877",1
"878",1
"879",1
"880",0
"881",0
"882",1
"883",0
"884",0
"885",0
"886",0
"887",1
"888",0
"889",0
"890",0
"891",0
"892",1
"893",0
"894",0
"895",0
"896",0
"897",0
"898",0
"899",0
"900",0
"901",0
"902",0
"903",0
"904",0
"905",0
"906",0
"907",1
"908",0
"909",0
"910",1
"911",0
"912",0
"913",0
"914",0
"915",0
"916",0
"917",0
"918",0
"919",1
"920",0
"921",0
"922",0
"923",0
"924",0
"925",1
"926",0
"927",0
"928",1
"929",0
"930",0
"931",0
"932",0
"933",0
"934",0
"935",1
"936",1
"937",0
"938",0
"939",0
"940",0
"941",0
"942",0
"943",0
"944",0
"945",1
"946",0
"947",0
"948",0
"949",0
"950",0
"951",0
"952",0
"953",0
"954",1
"955",0
"956",0
"957",1
"958",0
"959",1
"960",1
"961",0
"962",0
"963",0
"964",0
"965",0
"966",0
"967",0
"968",0
"969",0
"970",0
"971",0
"972",0
"973",1
"974",1
"975",0
"976",0
"977",0
"978",0
"979",1
"980",0
"981",0
"982",0
"983",0
"984",0
"985",1
"986",0
"987",1
"988",0
"989",0
"990",0
"991",0
"992",1
"993",0
"994",1
"995",1
"996",1
"997",1
"998",0
"999",0
"1000",1
"1001",0
"1002",1
"1003",1
"1004",0
"1005",1
"1006",1
"1007",0
"1008",0
"1009",0
"1010",0
"1011",0
"1012",0
"1013",0
"1014",1
"1015",1
"1016",1
"1017",0
"1018",0
"1019",0
"1020",0
"1021",0
"1022",0
"1023",0
"1024",0
"1025",1
"1026",0
"1027",0
"1028",0
"1029",0
"1030",0
"1031",0
"1032",0
"1033",0
"1034",0
"1035",0
"1036",0
"1037",0
"1038",0
"1039",0
"1040",0
"1041",0
"1042",0
"1043",0
"1044",0
"1045",0
"1046",0
"1047",0
"1048",0
"1049",0
